Terme anglais;Terme français;Variant anglais;Variant français;Definition anglaise;Définition française;Note anglaise;Note française;Terme lié
allophone;allophone;;;;;;;
alphanumerical character;caractère alphanumérique;;;;;;;
alternation;alternance;;;;Variation subie par un phonème ou un groupe de phonèmes dans un système morphologique donné. (Dubois et al., Dictionnaire de linguistique, 1994);;;
ALUM;ALUM;Adversarial training for large neural LangUage Models;;Language model which regularizes the training objective by applying perturbations in the embedding space that maximizes the adversarial loss (Liu et al., 2020).;Modèle de langue qui « régularise l'entraînement en appliquant des perturbations dans l'espace des embeddings qui maximise la perte antagoniste » (Liu et al., 2020);;;
alveolar consonant;consonne alvéolaire;alveolar;alvéolaire;;;;;
Alvis NLP;Alvis NLP;;;A corpus processing engine for Natural Language Processing which automates sequences of NLP and machine learning steps. (Loterre);Moteur de traitement de corpus pour le langage naturel qui automatise les étapes de traitement et d'apprentissage automatique. (Loterre);;;
AmbiverseNLU;AmbiverseNLU;;;A natural language understanding suite. (Loterre);Suite d'outils de traitement automatique du langage. (Loterre);;;
AMR graph;graphe AMR;abstract meaning representation graph;;A semantic representation of the meaning of a sentence and the relationships between its concepts in a structured form that can be interpreted by computational systems.;Graphe représentant la sémantique d’une phrase et dont les nœuds sont des concepts sémantiques et les arcs des relations typées. (D'après Kang et al., Analyse sémantique AMR pour le français par transfert translingue, 2023);;;
Analec;Analec;;;A software for annotation and analysis of writen corpora. (Loterre);Logiciel d'annotation et d'analyse de corpus écrits. (Loterre);;;
ANALHITZA;ANALHITZA;;;Information extraction tool. (Loterre);Outil d'extraction d'informations. (Loterre);;;
analogy;analogie;analogy principle;principe d'analogie;A process of regularization which affects the exceptional forms in the grammar of a language. (A dictionary of linguistics and phonetics, David Crystal, 2008);;;;
anaphora resolution;résolution d'anaphore;;;The problem of resolving what a pronoun, or a noun phrase refers to. (Loterre);Résolution de ce à quoi se réfère un pronom, ou une expression nominale. (Loterre);;;
anaphora;anaphore;;;;;;;
anglophony;anglophonie;;;;;;;
animate noun;nom animé;;;;;;;
annotated corpus;corpus annoté;;;;;;;
annotation vector;vecteur d'annotation;;;;;;;
annotation;annotation;;;The process/task of adding annotations to an item to enrich it. Text or corpus annotation refers to the interpretative linguistic information grounded in a knowledge resource that is added manually or automatically to a text or corpus respectively. (Loterre);Action d'ajouter des annotations à un élément qui permet d'enrichir celui-ci. L'annotation d'un texte ou d'un corpus fait référence à l'information linguistique interprétative qui est ajoutée manuellement ou automatiquement à un texte ou à un corpus et qui est fondée sur une base de connaissances. (Loterre);;;
annotator;annotateur;;;;;;;
anomaly detection;détection d'anomalies;outlier detection;détection des anomalies;The process of finding the data objects that stand out amongst other objects in a given dataset and do not conform to the normal behavior in a dataset by combining multiple data science tasks like classification, regression, and clustering. (Adapted from Kotu & Deshpande, Anomaly Detection, in Data Science, 2019);Méthode de détection et de classification utilisée pour identifier les observations qui s’écartent significativement des autres observations. (Data Franca);;;
answer span;intervalle de réponse;;;A contiguous sequence of words or tokens within a given passage or document that provides the answer to a specific question, typically to tackle tasks such as question answering.;Séquence de mots ou de tokens dans un extrait ou un document donné qui apporte la réponse à une question spécifique, généralement dans des systèmes de questions-réponses.;;;
AntConc;AntConc;;;A freeware corpus analysis toolkit for concordancing and text analysis. (Loterre);Boîte à outils libre d'analyse de corpus faisant office de concordancier et permettant l'analyse de textes. (Loterre);;;
antecedent;antécédent;;;;;;;
anteriority;antériorité;;;;;;;
anthroponym;anthroponyme;;;;;;;
anthroponymy;anthroponymie;;;;;;;
antipassive;antipassif;antipassive voice;;;;;;
antonymy;antonymie;;;;;;;
Apache OpenNLP;Apache OpenNLP;"OpenNLP;Open NLP2OpenNLP Tools3OpenNLP@fr";OpenNLP Tools10Open NLP9;;;;;
Apache UIMA;Apache UIMA;;;A component software architecture for the development, discovery, composition, and deployment of multi-modal analytics for the analysis of unstructured information and integration with search technologies. (Loterre);Architecture logicielle pour le développement, la découverte, la composition et le déploiement d'analyses multimodales, pour l'analyse d'informations non structurées et l'intégration avec les technologies de recherche. (Loterre);;;
apheresis;aphérèse;"ablation;aphaeresis";ablation;;;;;
apocope;apocope;;;;;;;
apodosis;apodose;;;;;;;
applied NLP;application du TAL;;;;;;;
apposition;apposition;;;;Le terme apposition est un emprunt au latin appositio, formé à partir du verbe apponere signifiant, « poser auprès, ajouter ». La notion d’apposition, qui figure au nombre des fonctions syntaxiques du nom et de l’adjectif dans les analyses contemporaines, s’applique à un type de construction qui peut être décrit comme l’appariement de deux segments linguistiques hiérarchiquement ordonnés (un constituant support et un constituant apport), formant une expression désignative complexe, sémantiquement et formellement disjointe par le détachement. (Neveu (F.), 2021, \Apposition\, in Encyclopédie grammaticale du français, en ligne: encyclogram.fr);;;
archaism;archaïsme;obsolete term;;;;;;
archiphoneme;archiphonème;;;;;;;
area under the curve;aire sous la courbe;AUC;"AUC;surface sous la courbe";A number between 0.0 and 1.0 representing a binary classification model's ability to separate positive classes from negative classes. The closer the AUC is to 1.0, the better the model's ability to separate classes from each other. (Google for Developers, Machine Learning Glossary);Statistique d'évaluation qui envisage tous les seuils de classification possibles : l'aire sous la courbe ROC correspond à la probabilité que le niveau de confiance d'un classificateur quant au fait qu'un exemple positif choisi aléatoirement soit effectivement positif soit supérieur au niveau de confiance quant au fait qu'un exemple négatif choisi aléatoirement soit positif. (Data Franca);;;
Argo;Argo;;;A workbench for building and running text-analysis solutions. It facilitates the development of custom workflows from a selection of elementary analytics. (Loterre);Environnement de test pour construire et exécuter des solutions d'analyse de textes. Il facilite le développement de flux de travail personnalisés. (Loterre);;;
argument;argument;;;;;;;
argumentation;argumentation;;;;;;;
article;article;;;;;;;
articulatory base;base articulatoire;;;;;;;
artificial general intelligence;IA générale;"AGI;strong artificial intelligence;strong AI";"intelligence artificielle générale;AGI";Type of AI system that addresses a broad range of tasks with a satisfactory level of performance. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Type de système d'IA qui traite un large éventail de tâches  en affichant un niveau de performances satisfaisant. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);AGI is often used in a stronger sense, meaning systems that not only can perform a wide variety of tasks, but all tasks that a human can perform. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);L'AGI est souvent utilisée dans un sens plus large, c'est-à-dire des systèmes qui peuvent non seulement effectuer un large éventail de tâches, mais aussi toutes les tâches qu'un humain peut effectuer. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);
artificial intelligence;intelligence artificielle;AI;IA;A set of sciences, theories and techniques whose purpose is to reproduce by a machine the cognitive abilities of a human being. (Artificial Intelligence Glossary, Council of Europe);Domaine d'étude ayant pour objet la reproduction artificielle des facultés cognitives de l'intelligence humaine dans le but de créer des systèmes ou des machines capables d'exécuter des fonctions relevant normalement de celle-ci. (Office québécois de la langue française);;L'intelligence artificielle touche à de nombreux domaines, comme les sciences cognitives et les mathématiques, et à diverses applications, notamment en reconnaissance des formes, en résolution de problèmes, en robotique, dans les jeux vidéo ainsi que dans les systèmes experts. (Office québécois de la langue française);
artificial narrow intelligence;IA étroite;"ANI;narrow artificial intelligence;narrow AI;weak artificial intelligence;weak AI";"intelligence artificielle étroite;intelligence artificielle faible;IA faible";An AI system that is designed to accomplish a specific problem-solving or reasoning task. (NIST, The Language of Trustworthy AI: An In-Depth Glossary of Terms, 2023);Type de système d'IA qui se concentre sur des tâches définies pour traiter un problème spécifique. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);;;
aspect;aspect;;;;;;;
aspirate consonant;consonne aspirée;aspirate;aspirée;;;;;
aspiration;aspiration;;;;;;;
assibilation;assibilation;;;;;;;
ATR feature;trait ATR;;;;;;;
attention distribution;distribution d'attention;;;The distribution of attention weights across the input sequence in an attention-based model.;Manière dont les poids d'attention sont répartis dans la séquence d'entrée d'un modèle basé sur l'attention.;;;
attention head;tête d'attention;;;An individual component in a multi-head attention mechanism which focuses on specific parts of input text, helping a language model to understand which words are most important for a particular task, like understanding meaning or answering a question.;Composant individuel d'un mécanisme d'attention multi-tête qui se concentre sur des parties spécifiques d'un texte d'entrée, aidant le modèle de langue à comprendre quels mots sont les plus importants pour répondre à une problématique particulière, comme la compréhension du sens du texte ou la réponse à une question.;;;
attention mechanism;mécanisme d'attention;attention network;réseau attentionnel;A useful layer in neural networks, aiming to focus on specific parts of the input to get the result. (Jouis et al., A methodology to compare XAI explanations on natural language processing, in Explainable Deep Learning AI, 2023);Capacité d'apprendre à se concentrer sur des parties spécifiques de données complexes, par exemple une partie d'une image ou certains mots dans une phrase. Des mécanismes d'attention peuvent être incorporés dans les architectures de traitement de la langue naturelle et de reconnaissance d'images pour aider un réseau de neurones artificiels à apprendre sur quoi \se concentrer\ lorsqu'il fait des prédictions. (Data Franca);;;
attention model;modèle d'attention;;;Neural network architecture which improves the performance of sequence-to-sequence models by allowing the model to selectively focus on different parts of the input sequence at each time step, allowing for better handling of longer input sequences.;;;;
attention weight;coefficient d'attention;attention matrix;poids d'attention;The degree of relevance or importance assigned to each word or token in a sequence when processing a task. Attention weights help models focus on pertinent information while performing tasks such as machine translation, text summarization, and question answering, allowing them to efficiently process and generate meaningful outputs.;Score d'importance ou de pertinence attribué aux représentations ou vecteurs des mots lors de l'application du mécanisme d'attention dans un modèle. Les coefficients d'attention aident les modèles à se concentrer sur les informations pertinentes lors de l'exécution de tâches telles que la traduction ou le résumé automatique, ce qui leur permet de traiter efficacement et de générer des résultats significatifs.;;;
attribute;attribut;;;;;;;
autoencoder;autoencodeur;AE;"auto-associateur;auto-encodeur";A neural network that uses a backpropagation algorithm for feature learning. (ScienceDirect);Architecture de réseau de neurones artificiels capable d'apprendre sans supervision des représentations qui sont généralement de dimensions inférieures aux données d'entrée. (Data Franca);;;
automatic correction;correction automatique;;;;;;;
automatic evaluation metric;métrique automatique d'évaluation;AEM;;Measure that evaluates the quality of a machine-generated translation by comparing it to one or more reference translations, using a predefined scoring algorithm.;Méthode automatique utilisée pour évaluer la qualité d'une traduction automatique en la comparant à une ou plusieurs traductions de référence.;;;
automatic indexing;indexation automatique;"computer-based indexing;machine indexing";;A process of extracting words from a document to classify the documents per subject and to enhance the information retrieval process. (Haraty et al., An innovative automatic indexing method for Arabic text, in Advances in Computing and Engineering, 2023);;;;
automatic reading;lecture automatique;;;;;;;
automatic recommendation;recommandation automatique;;;The use of computational techniques to suggest items, products, content, or actions to users based on their input or behavior in natural language.;Processus par lequel des systèmes informatiques analysent des données textuelles pour proposer automatiquement des recommandations personnalisées à un utilisateur.;;;
automatic speech recognition system;système de reconnaissance automatique de la parole;ASR system;"SRAP;système de RAP;système RAP";A technology designed to analyze and interpret audio signals, recognizing the phonetic and linguistic elements of spoken words.;Programme informatique ou périphérique matériel capable de décoder la voix humaine. (Data Franca);;;
automatic summarization;résumé automatique;"automatic text summarization;summarization;text summarization";;The process/task of reducing one or more textual documents with a computer program in order to create a summary that retains the most important points of the original document(s). (Loterre);Tâche/processus consistant à réduire un ou plusieurs documents textuels à l'aide d'un programme informatique afin de créer un résumé qui conserve les points les plus importants du ou des documents originaux. (Loterre);;;
automatic term recognition;acquisition automatique de termes;"ATR;ATE;automatic term extraction";"extraction automatique de termes;EAT;ATE";An area related to the study, design and development of techniques for the extraction of stable lexical units from text, and the filtering of these lexical units, usually through some scoring and ranking schemes, for the identification of terms. (Wong, Determination of Unithood and Termhood for Term Recognition, in Handbook of Research on Text and Web Mining Technologies, 2009);Méthode qui vise à extraire automatiquement des termes techniques à partir d’un corpus. (Adapté de Lossio-Ventura et al., Extraction automatique de termes combinant différentes informations, TALN, 2014);;;
autonymy;autonymie;;;;;;;
autosegmental model;modèle autosegmental;;;;;;;
auxiliary;auxiliaire;;;;;;;
auxiliation;auxiliation;;;;;;;
background knowledge;connaissances de base;;connaissances de fond;Additional information or contextual understanding that is not explicitly present in the text being analyzed but is instead drawn from external sources such as knowledge bases, ontologies, or external corpora and integrated into models and algorithms to improve the understanding and interpretation of textual data.;Informations supplémentaires ou compréhension du contexte qui ne sont pas explicitement présentes dans le texte analysé, mais qui sont tirées de sources externes telles que des bases de connaissances, des ontologies ou des corpus externes et intégrées dans les modèles et algorithmes afin d'améliorer la compréhension et l'interprétation des données textuelles.;;;
backpropagation;rétropropagation;"backprop;backward propagation of errors;BP;error back propagation;error feedback propagation;feedback propagation";"rétropropagation d'erreurs;rétropropagation des erreurs;rétropropagation d'erreur;rétropropagation de l'erreur";A gradient estimation technique used in supervised machine learning which consists in updating the weights of the neural network by iteratively propagating the error backward from the output layer to the input layer and then minimize the difference between the predicted and actual output. The backpropagation algorithm is used in image, speech, and pattern recognition as well as classification.;Méthode en apprentissage supervisé qui consiste à mettre à jour les poids de chaque neurone de la dernière couche vers la première en estimant les différences entre les sorties et les sorties désirées pour à terme réduire les erreurs et améliorer la prédiction. (Adapté de Wikipédia);The term back-propagation is often misunderstood as meaning the whole learning algorithm for multilayer neural networks. Backpropagation refers only to the method for computing the gradient, while other algorithms, such as stochastic gradient descent, is used to perform learning using this gradient. (Goodfellow et al., 6.5 Back-Propagation and Other Differentiation Algorithms, Deep Learning, 2016);;
bagging;bagging;"bagging;bootstrap aggregating";bootstrap aggregating;A machine learning ensemble meta-algorithm designed to improve the stability and accuracy of machine learning algorithms used in statistical classification and regression. (Wikipedia);Méta-algorithme d'ensemble d'apprentissage automatique conçu pour améliorer la stabilité et la précision des algorithmes d'apprentissage automatique utilisés dans la classification statistique et la régression. (Wikipédia);;;
bag-of-word;sac-de-mots;;;A representation of the words in a phrase or passage, irrespective of order. (Adapted from Google for Developers, Machine Learning Glossary);;;;
BANNER;BANNER;;;A system for the recognition of named entities intended primarily for biomedical texts. It uses conditional random fields as the main recognition engine and includes a wide range of the best techniques. described in recent literature. (Loterre);Système de reconnaissance d'entités nommées destiné principalement aux textes biomédicaux. Il utilise les champs aléatoires conditionnels comme principal moteur de reconnaissance et comprend un large éventail des meilleures techniques décrites dans la littérature récente. (Loterre);;;
BART;BART;Bayesian Analogy with Relational Transformations;;;;;;
batch size;taille de lot;;taille des lots;The number of data samples that are processed in a single iteration during the training of a model.;Nombre d'exemples d'un lot. (Data Franca);;;
bayesian model;modèle bayésien;;;A statistical model that predicts by calculating feature and label conditional probabilities. (Wang et al., Deep learning model for multi-classifcation of infectious diseases from unstructured electronic medical records, BMC Medical Informatics and Decision Making, 2022);Formule qui permet d’évaluer la probabilité d’un évènement au fur et à mesure que de nouvelles informations sont connues. (Loterre);;;
Bayesian network;réseau bayésien;;;Probabilistic model that uses Bayesian inference for probability computations using a directed acyclic graph. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);Modèle probabiliste qui utilise une inférence bayésienne pour les calculs de probabilité en utilisant un graphe orienté acyclique. (ISO/IEC 22989:2022 Information technology — Artificial intelligence — Artificial intelligence concepts and terminology);;;
BEHRT;BEHRT;;;A BERT language model for electronic health records. (Loterre);Modèle de langue BERT pour les dossiers médicaux électroniques. (Loterre);;;
benchmark dataset;jeu de données de référence;benchmarking dataset;;A static dataset that is used to evaluate and compare the performance of different algorithms, models, or methods. (Based on Gabor Melli's Research Knowledge Base);Ensemble de données préalablement annotées utilisé comme référence pour évaluer ou comparer des modèles d'apprentissage automatique.;;;
benefactive;bénéfactif;;;;;;;
BERT;BERT;Bidirectional Encoder Representations from Transformers;;BERT is designed to pretrain deep bidirectional representations from unlabeled text by jointly conditioning on both left and right context in all layers. (Devlin et al., 2019).;BERT est conçu pour pré-entraîner des représentations bidirectionnelles profondes à partir de textes non étiquetés en conditionnant conjointement les contextes gauche et droit dans toutes les couches. (Devlin et al., 2019);;;
BERT-SentiX;BERT-SentiX;;;A pre-trained language model for sentiment analysis. (Loterre);Modèle de langue pré-entraîné destiné à l'analyse de sentiments. (Loterre);;;
bias;biais;;;;;;;
bibliometrics;bibliométrie;;;The quantitative analysis of scientific output and the networks behind that output. (Institut Pasteur);Ensemble des méthodes utilisées pour analyser quantitativement la littérature académique et les communications savantes. (Université Laval);;;
bibliometrix;bibliometrix;;;;;;;
bidirectional long-short term memory;mémoire court et long terme bidirectionnelle;"bi-directional long-short term memory;BLSTM;BiLSTM";"biLMCT;BLSTM";A neural network of Long Short Term Memory which consists of two layers of LSTM neural networks, namely the advanced LSTM layer to model the previous context and the backward LSTM layer to model each subsequent context. (Adapted from Isnain et al., Bidirectional Long Short Term Memory Method and Word2vec Extraction Approach for Hate Speech Detection, IJCCS, 2020);Réseau récurrent qui traite la donnée courante dans une séquence en tenant compte des données précédentes et des données suivantes. Le plus souvent, il est formé par l'empilement de deux réseaux récurrents LMCT. Un premier réseau LMCT traite les données dans une séquence de gauche à droite et un deuxième réseau LMCT traite les donnée de la séquence de droite à gauche. (Data Franca);;;
BigARTM;BigARTM;;;Fast topic modeling platform. (Loterre);Plateforme de modélisation de topiques rapide. (Loterre);;;
bilabial consonant;consonne bilabiale;bilabial;bilabiale;;;;;
bilingual dictionary;dictionnaire bilingue;;dictionnaire de traduction;;;;;
bilingual lexicon;lexique bilingue;;;;;;;
bilingualism;bilinguisme;;;;;;;
binary classification;classification binaire;;;A task where data of two groups need to be classified or predicted to be part of one of those two groups. (https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9938573/);Transformation de données qui vise à répartir les membres d'un ensemble dans deux groupes disjoints selon que l'élément possède ou non une propriété / fonctionnalité donnée. (Data Franca);;;
binomial expression;expression binomiale;;;;;;;
BioBERT;BioBERT;;;A pre-trained language representation model for the biomedical domain.'(Lee et al., 2020, p. 1235).;Modèle de représentation linguistique pré-entraîné pour le domaine biomédical. (Lee et al., 2020, p. 1235);;;
BioLemmatizer;BioLemmatizer;;;A domain-specific lemmatization tool for the morphological analysis of biomedical literature. (Loterre);Outil de lemmatisation spécifique pour l'analyse morphologique de la littérature biomédicale. (Loterre);;;
BioNLP;BioNLP;;;An initiative by the Center for Computational Pharmacology at the University of Colorado Denver to create and distribute code and data for applying natural language processing techniques to biomedical texts. (Loterre);Initiative du Centre de Pharmacologie computationnelle de l'Université du Colorado à Denver visant à créer et à distribuer du code des logiciels et des données pour l'application de techniques de traitement du langage naturel aux textes biomédicaux. (Loterre);;;
BioTagger;BioTagger;;;A software suite which currently supports three types of entities: gene entities genomic variations entities and malignancy type entities. The core of the tagger is derived from the machine learning package MALLET. (Loterre);Suite logicielle qui prend actuellement en charge trois types d'entités : les entités géniques les entités de variations génomiques et les entités de type malignité. Le cœur du tagger est dérivé du package d'apprentissage automatique MALLET. (Loterre);;;
biRNN encoder;encodeur biRNN;;;;;;;
bitext alignment;alignement de bi-textes;;;;;;;
bitext;bi-texte;;concordancier bilingue;Text placed alongside its translation or translations. (Wikidata);Texte placé à côté de sa traduction ou de ses traductions. (Wikidata);;;
blend;mot-valise;"portmanteau;blend word;portmanteau word";amalgame;On a first approximation, blends (Ger. Kontamination, Wortverschmelzung, Fr. mots-valises, amalgames, It. parole macedonia, incroci) are lexemes formed by means of fusing two already existing lexemes into a new one, where the stems of the initial lexemes have often been shortened. English smog ← smoke × fog is an example of a blend. (Fradin, Bernard. \21. Blending\. Volume 1 Word-Formation: An International Handbook of the Languages of Europe, edited by Peter O. Müller, Ingeborg Ohnheiser, Susan Olsen and Franz Rainer, Berlin, München, Boston: De Gruyter Mouton, 2015, pp. 386-413. https://doi.org/10.1515/9783110246254-023) ;;;;
blending;mot-valisage;"blending;combining2";;Blending is a type of word formation in which two or more words are merged into one so that the blended constituents are either clipped, or partially overlap. (Beliaeva, N.  (2019, May 23). Blending in Morphology. Oxford Research Encyclopedia of Linguistics. Retrieved 28 Jun. 2024, from https://oxfordre.com/linguistics/view/10.1093/acrefore/9780199384655.001.0001/acrefore-9780199384655-e-511.);;;;
BLEU metric;métrique BLEU;;;Machine translation metric that represents the n-grams shared between a candidate machine translation and a reference translation. (https://zenodo.org/record/6653406);Mesure des différences entre une traduction automatique et des traductions de référence créées par l’homme pour une même phrase source. (https://learn.microsoft.com/fr-fr/azure/cognitive-services/Translator/custom-translator/concepts/bleu-score);;;
BLEU score;score BLEU;;;;;;;
